budget,imdb_id,popularity,release_date,startYear,revenue,runtime,title,status,New_status,Genre,Production_Company,Director,averageRating,numVotes
30000000.0,tt0114709,21.946943,1995-10-30,1995,373554033.0,81.0,Toy Story,12.4518011,1.0,Animation,Pixar Animation Studios,John Lasseter,8.3,824235
65000000.0,tt0113497,17.015539,1995-12-15,1995,262797249.0,104.0,Jumanji,4.0430346,1.0,Adventure,TriStar Pictures,Joe Johnston,7.0,279019
32000000.0,tt0097523,12.358786,1989-06-22,1989,222724172.0,93.0,"Honey, I Shrunk the Kids",6.960130375,1.0,Adventure,Buena Vista,Joe Johnston,6.3,133024
42000000.0,tt0102803,10.536644,1991-06-21,1991,62000000.0,108.0,The Rocketeer,1.4761904761904763,1.0,Action,Walt Disney Pictures,Joe Johnston,6.5,49592
93000000.0,tt0163025,0.648867,2001-07-18,2001,368780809.0,92.0,Jurassic Park III,3.9653850430107527,1.0,Adventure,Universal Studios,Joe Johnston,5.9,281126
100000000.0,tt0317648,8.140709,2004-03-05,2004,108103450.0,136.0,Hidalgo,1.0810345,1.0,Western,Casey Silver Productions,Joe Johnston,6.7,74754
140000000.0,tt0458339,19.323582000000002,2011-07-22,2011,370569774.0,124.0,Captain America: The First Avenger,2.646926957142857,1.0,Action,Paramount Pictures,Joe Johnston,6.9,690004
60000000.0,tt0113277,17.924927,1995-12-15,1995,187436818.0,170.0,Heat,3.123946966666667,1.0,Action,Regency Enterprises,Michael Mann,8.2,536565
40000000.0,tt0104691,15.228794,1992-09-25,1992,75505856.0,112.0,The Last of the Mohicans,1.8876464,1.0,Action,Morgan Creek Productions,Michael Mann,7.7,139457
90000000.0,tt0140352,11.3569,1999-10-28,1999,60289912.0,157.0,The Insider,0.6698879111111111,0.0,Drama,Spyglass Entertainment,Michael Mann,7.8,152189
15000000.0,tt0091474,0.338943,1986-08-14,1986,8620929.0,119.0,Manhunter,0.5747286,0.0,Crime,De Laurentiis Entertainment Group (DEG),Michael Mann,7.2,60919
107000000.0,tt0248667,9.303104,2001-12-11,2001,87713825.0,157.0,Ali,0.8197553738317757,0.0,Drama,Columbia Pictures Corporation,Michael Mann,6.8,89186
65000000.0,tt0369339,13.455112,2004-08-04,2004,217764291.0,120.0,Collateral,3.3502198615384615,1.0,Drama,Paramount Pictures,Michael Mann,7.5,340863
135000000.0,tt0430357,11.72545,2006-07-27,2006,163794509.0,134.0,Miami Vice,1.2132926592592592,1.0,Action,Universal Pictures,Michael Mann,6.0,105142
35000000.0,tt0114576,5.23158,1995-12-22,1995,64350171.0,106.0,Sudden Death,1.8385763142857143,1.0,Action,Universal Pictures,Peter Hyams,5.8,30508
27000000.0,tt0111438,8.907074,1994-09-15,1994,101646581.0,99.0,Timecop,3.764688185185185,1.0,Thriller,Universal Pictures,Peter Hyams,5.9,52704
60000000.0,tt0120004,7.699967,1997-01-10,1997,33956608.0,110.0,The Relic,0.5659434666666666,0.0,Horror,Paramount Pictures,Peter Hyams,5.8,23095
28000000.0,tt0086837,7.482864999999999,1984-12-06,1984,40400657.0,116.0,2010,1.442880607142857,1.0,Thriller,Metro-Goldwyn-Mayer (MGM),Peter Hyams,6.8,47499
100000000.0,tt0146675,9.62371,1999-11-24,1999,211989043.0,121.0,End of Days,2.11989043,1.0,Action,Beacon Communications,Peter Hyams,5.8,101869
16000000.0,tt0082869,6.918821,1981-05-22,1981,17374595.0,112.0,Outland,1.0859121875,1.0,Science Fiction,The Ladd Company,Peter Hyams,6.6,25473
80000000.0,tt0318081,4.9801910000000005,2005-05-15,2005,5989640.0,110.0,A Sound of Thunder,0.0748705,0.0,Thriller,Epsilon Motion Pictures,Peter Hyams,4.2,18303
58000000.0,tt0113189,14.686035999999998,1995-11-16,1995,352194034.0,130.0,GoldenEye,6.072310931034483,1.0,Adventure,United Artists,Martin Campbell,7.2,226539
95000000.0,tt0120746,11.348096,1998-07-16,1998,250288523.0,136.0,The Mask of Zorro,2.6346160315789473,1.0,Action,Amblin Entertainment,Martin Campbell,6.7,159514
75000000.0,tt0190865,6.548229,2000-12-08,2000,215663859.0,124.0,Vertical Limit,2.87551812,1.0,Action,Columbia Pictures Corporation,Martin Campbell,5.9,56098
75000000.0,tt0386140,8.940007000000001,2005-10-24,2005,142400065.0,129.0,The Legend of Zorro,1.8986675333333334,1.0,Action,Amblin Entertainment,Martin Campbell,5.9,87962
150000000.0,tt0381061,23.065078,2006-11-14,2006,599045960.0,144.0,Casino Royale,3.9936397333333336,1.0,Adventure,Eon Productions,Martin Campbell,8.0,548354
62000000.0,tt0112346,6.318445,1995-11-17,1995,107879496.0,106.0,The American President,1.739991870967742,1.0,Comedy,Columbia Pictures,Rob Reiner,6.8,49100
16000000.0,tt0093779,15.15267,1987-09-18,1987,30857814.0,98.0,The Princess Bride,1.928613375,1.0,Adventure,Act III Communications,Rob Reiner,8.1,368879
8000000.0,tt0092005,15.206957000000001,1986-08-22,1986,52287414.0,89.0,Stand by Me,6.53592675,1.0,Crime,Columbia Pictures,Rob Reiner,8.1,341533
2500000.0,tt0088258,13.981499,1984-05-04,1984,4736202.0,82.0,This Is Spinal Tap,1.8944808,1.0,Comedy,Spinal Tap Prod.,Rob Reiner,7.9,122534
16000000.0,tt0098635,8.34322,1989-07-21,1989,92823546.0,96.0,When Harry Met Sally...,5.801471625,1.0,Comedy,Castle Rock Entertainment,Rob Reiner,7.6,181574
40000000.0,tt0104257,12.330249,1992-12-11,1992,243240178.0,138.0,A Few Good Men,6.08100445,1.0,Drama,David Brown Productions,Rob Reiner,7.7,219407
20000000.0,tt0100157,15.020845000000001,1990-11-28,1990,61276872.0,107.0,Misery,3.0638436,1.0,Drama,Columbia Pictures,Rob Reiner,7.8,169851
70000000.0,tt0398375,6.158212000000001,2005-12-23,2005,88933562.0,97.0,Rumor Has It...,1.270479457142857,1.0,Comedy,Village Roadshow Pictures,Rob Reiner,5.5,50122
