,budget,imdb_id,popularity,release_date,startYear,release_month,revenue,runtime,title,Genre,Production_Company,Director,averageRating,numVotes,original_language,status,New_status
0,30000000.0,tt0114709,21.946943,1995-10-30,1995,10,373554033.0,81.0,Toy Story,Animation,Pixar Animation Studios,John Lasseter,8.3,824235,en,12.4518011,1.0
1,65000000.0,tt0113497,17.015539,1995-12-15,1995,12,262797249.0,104.0,Jumanji,Adventure,TriStar Pictures,Joe Johnston,7.0,279019,en,4.0430346,1.0
2,32000000.0,tt0097523,12.358786,1989-06-22,1989,6,222724172.0,93.0,"Honey, I Shrunk the Kids",Adventure,Buena Vista,Joe Johnston,6.3,133024,en,6.960130375,1.0
3,42000000.0,tt0102803,10.536644,1991-06-21,1991,6,62000000.0,108.0,The Rocketeer,Action,Walt Disney Pictures,Joe Johnston,6.5,49592,en,1.4761904761904763,1.0
4,93000000.0,tt0163025,0.648867,2001-07-18,2001,7,368780809.0,92.0,Jurassic Park III,Adventure,Universal Studios,Joe Johnston,5.9,281126,en,3.9653850430107527,1.0
5,100000000.0,tt0317648,8.140709,2004-03-05,2004,3,108103450.0,136.0,Hidalgo,Western,Casey Silver Productions,Joe Johnston,6.7,74754,en,1.0810345,1.0
6,140000000.0,tt0458339,19.323582000000002,2011-07-22,2011,7,370569774.0,124.0,Captain America: The First Avenger,Action,Paramount Pictures,Joe Johnston,6.9,690004,en,2.646926957142857,1.0
7,60000000.0,tt0113277,17.924927,1995-12-15,1995,12,187436818.0,170.0,Heat,Action,Regency Enterprises,Michael Mann,8.2,536565,en,3.123946966666667,1.0
8,40000000.0,tt0104691,15.228794,1992-09-25,1992,9,75505856.0,112.0,The Last of the Mohicans,Action,Morgan Creek Productions,Michael Mann,7.7,139457,en,1.8876464,1.0
9,90000000.0,tt0140352,11.3569,1999-10-28,1999,10,60289912.0,157.0,The Insider,Drama,Spyglass Entertainment,Michael Mann,7.8,152189,en,0.6698879111111111,0.0
10,15000000.0,tt0091474,0.338943,1986-08-14,1986,8,8620929.0,119.0,Manhunter,Crime,De Laurentiis Entertainment Group (DEG),Michael Mann,7.2,60919,en,0.5747286,0.0
11,107000000.0,tt0248667,9.303104,2001-12-11,2001,12,87713825.0,157.0,Ali,Drama,Columbia Pictures Corporation,Michael Mann,6.8,89186,en,0.8197553738317757,0.0
12,65000000.0,tt0369339,13.455112,2004-08-04,2004,8,217764291.0,120.0,Collateral,Drama,Paramount Pictures,Michael Mann,7.5,340863,en,3.3502198615384615,1.0
13,135000000.0,tt0430357,11.72545,2006-07-27,2006,7,163794509.0,134.0,Miami Vice,Action,Universal Pictures,Michael Mann,6.0,105142,en,1.2132926592592592,1.0
14,35000000.0,tt0114576,5.23158,1995-12-22,1995,12,64350171.0,106.0,Sudden Death,Action,Universal Pictures,Peter Hyams,5.8,30508,en,1.8385763142857143,1.0
15,27000000.0,tt0111438,8.907074,1994-09-15,1994,9,101646581.0,99.0,Timecop,Thriller,Universal Pictures,Peter Hyams,5.9,52704,en,3.764688185185185,1.0
16,60000000.0,tt0120004,7.699967,1997-01-10,1997,1,33956608.0,110.0,The Relic,Horror,Paramount Pictures,Peter Hyams,5.8,23095,en,0.5659434666666666,0.0
17,28000000.0,tt0086837,7.482864999999999,1984-12-06,1984,12,40400657.0,116.0,2010,Thriller,Metro-Goldwyn-Mayer (MGM),Peter Hyams,6.8,47499,en,1.442880607142857,1.0
18,100000000.0,tt0146675,9.62371,1999-11-24,1999,11,211989043.0,121.0,End of Days,Action,Beacon Communications,Peter Hyams,5.8,101869,en,2.11989043,1.0
19,16000000.0,tt0082869,6.918821,1981-05-22,1981,5,17374595.0,112.0,Outland,Science Fiction,The Ladd Company,Peter Hyams,6.6,25473,en,1.0859121875,1.0
20,80000000.0,tt0318081,4.9801910000000005,2005-05-15,2005,5,5989640.0,110.0,A Sound of Thunder,Thriller,Epsilon Motion Pictures,Peter Hyams,4.2,18303,en,0.0748705,0.0
21,58000000.0,tt0113189,14.686035999999998,1995-11-16,1995,11,352194034.0,130.0,GoldenEye,Adventure,United Artists,Martin Campbell,7.2,226539,en,6.072310931034483,1.0
22,95000000.0,tt0120746,11.348096,1998-07-16,1998,7,250288523.0,136.0,The Mask of Zorro,Action,Amblin Entertainment,Martin Campbell,6.7,159514,en,2.6346160315789473,1.0
23,75000000.0,tt0190865,6.548229,2000-12-08,2000,12,215663859.0,124.0,Vertical Limit,Action,Columbia Pictures Corporation,Martin Campbell,5.9,56098,en,2.87551812,1.0
24,75000000.0,tt0386140,8.940007000000001,2005-10-24,2005,10,142400065.0,129.0,The Legend of Zorro,Action,Amblin Entertainment,Martin Campbell,5.9,87962,en,1.8986675333333334,1.0
25,150000000.0,tt0381061,23.065078,2006-11-14,2006,11,599045960.0,144.0,Casino Royale,Adventure,Eon Productions,Martin Campbell,8.0,548354,en,3.9936397333333336,1.0
26,62000000.0,tt0112346,6.318445,1995-11-17,1995,11,107879496.0,106.0,The American President,Comedy,Columbia Pictures,Rob Reiner,6.8,49100,en,1.739991870967742,1.0
27,16000000.0,tt0093779,15.15267,1987-09-18,1987,9,30857814.0,98.0,The Princess Bride,Adventure,Act III Communications,Rob Reiner,8.1,368879,en,1.928613375,1.0
28,8000000.0,tt0092005,15.206957000000001,1986-08-22,1986,8,52287414.0,89.0,Stand by Me,Crime,Columbia Pictures,Rob Reiner,8.1,341533,en,6.53592675,1.0
29,2500000.0,tt0088258,13.981499,1984-05-04,1984,5,4736202.0,82.0,This Is Spinal Tap,Comedy,Spinal Tap Prod.,Rob Reiner,7.9,122534,en,1.8944808,1.0
30,16000000.0,tt0098635,8.34322,1989-07-21,1989,7,92823546.0,96.0,When Harry Met Sally...,Comedy,Castle Rock Entertainment,Rob Reiner,7.6,181574,en,5.801471625,1.0
31,40000000.0,tt0104257,12.330249,1992-12-11,1992,12,243240178.0,138.0,A Few Good Men,Drama,David Brown Productions,Rob Reiner,7.7,219407,en,6.08100445,1.0
32,20000000.0,tt0100157,15.020845000000001,1990-11-28,1990,11,61276872.0,107.0,Misery,Drama,Columbia Pictures,Rob Reiner,7.8,169851,en,3.0638436,1.0
33,70000000.0,tt0398375,6.158212000000001,2005-12-23,2005,12,88933562.0,97.0,Rumor Has It...,Comedy,Village Roadshow Pictures,Rob Reiner,5.5,50122,en,1.270479457142857,1.0
34,45000000.0,tt0825232,9.070642999999999,2007-12-25,2007,12,175372502.0,97.0,The Bucket List,Drama,Two Ton Films,Rob Reiner,7.4,218529,en,3.8971667111111112,1.0
35,14000000.0,tt0817177,10.279685,2010-08-06,2010,8,1755212.0,89.0,Flipped,Romance,Reiner / Greisman Productions,Rob Reiner,7.7,76508,en,0.12537228571428571,0.0
36,98000000.0,tt0112760,7.284477000000001,1995-12-22,1995,12,10017322.0,119.0,Cutthroat Island,Action,Le Studio Canal+,Renny Harlin,5.7,24687,en,0.10221757142857144,0.0
37,70000000.0,tt0106582,9.830853,1993-05-28,1993,5,255000211.0,112.0,Cliffhanger,Action,TriStar Pictures,Renny Harlin,6.4,113623,en,3.642860157142857,1.0
38,65000000.0,tt0116908,14.482345,1996-10-11,1996,10,89456761.0,120.0,The Long Kiss Goodnight,Crime,New Line Cinema,Renny Harlin,6.8,68637,en,1.3762578615384615,1.0
39,70000000.0,tt0099423,18.785984,1990-07-02,1990,7,240031094.0,124.0,Die Hard 2,Action,Twentieth Century Fox Film Corporation,Renny Harlin,7.2,318691,en,3.4290156285714284,1.0
40,7000000.0,tt0095742,8.120317,1988-08-19,1988,8,72500000.0,99.0,A Nightmare on Elm Street 4: The Dream Master,Horror,New Line Cinema,Renny Harlin,5.7,46659,en,10.357142857142858,1.0
41,60000000.0,tt0149261,7.493614999999999,1999-07-28,1999,7,73648228.0,105.0,Deep Blue Sea,Action,Village Roadshow Pictures,Renny Harlin,5.8,117689,en,1.2274704666666667,1.0
42,94000000.0,tt0132245,5.310558,2001-04-27,2001,4,54744738.0,116.0,Driven,Action,Epsilon Motion Pictures,Renny Harlin,4.6,38016,en,0.582390829787234,0.0
43,27000000.0,tt0297284,7.600017,2004-05-07,2004,5,21148829.0,106.0,Mindhunters,Mystery,Avenue Pictures Productions,Renny Harlin,6.4,55798,en,0.7832899629629629,0.0
44,80000000.0,tt0204313,13.02369,2004-08-20,2004,8,78000586.0,114.0,Exorcist: The Beginning,Horror,Morgan Creek Productions,Renny Harlin,5.1,32162,en,0.975007325,0.0
45,20000000.0,tt0475944,12.72212,2006-09-08,2006,9,37597471.0,97.0,The Covenant,Action,"Screen Gems, Inc.",Renny Harlin,5.3,45027,en,1.87987355,1.0
46,52000000.0,tt0112641,10.137389,1995-11-22,1995,11,116112375.0,178.0,Casino,Drama,Universal Pictures,Martin Scorsese,8.2,426277,en,2.2329302884615383,1.0
